symbol,entry_date,exit_date,pnl,pnl_pct,reason,motor,days_held
BB,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.4345921321142363,-0.023782559456398716,rebalance,regime_hold_cash,7
F,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.1570793502484129,-0.008595988538682023,rebalance,regime_hold_cash,7
NOK,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.02642597890416809,-0.001446131597975444,rebalance,regime_hold_cash,7
PLTR,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-2.3962807806899793,-0.13113373650769347,rebalance,regime_hold_cash,7
SOFI,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.11538990156978102,-0.006314580941446861,rebalance,regime_hold_cash,7
TQQQ,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.9992250852187681,-0.05468145473304109,rebalance,regime_hold_cash,7
TSLA,2026-06-17 00:00:00+00:00,2026-06-24 00:00:00+00:00,-0.961208481747402,-0.05260103940663008,rebalance,regime_hold_cash,7
AMD,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
BB,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
F,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
NOK,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
PLTR,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
SOFI,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TQQQ,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TSLA,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
AMD,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-0.766889120997579,-0.04340149386185475,rebalance,regime_hold_cash,7
BB,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-2.331124526891811,-0.13192818110850915,rebalance,regime_hold_cash,7
F,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-0.18136002388240868,-0.010263929618768238,rebalance,regime_hold_cash,7
NOK,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-1.3139319999589674,-0.07436096049573988,rebalance,regime_hold_cash,7
PLTR,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,0.9120815699263112,0.05161854768153974,rebalance,regime_hold_cash,7
SOFI,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-0.6803389430147249,-0.03850325379609544,rebalance,regime_hold_cash,7
TQQQ,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-1.0812565416328965,-0.061192873741285736,rebalance,regime_hold_cash,7
TSLA,2026-07-01 00:00:00+00:00,2026-07-08 00:00:00+00:00,-1.2979069005512045,-0.07345403244768399,rebalance,regime_hold_cash,7
AMD,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.3816459380888446,0.0226804920710081,rebalance,regime_hold_cash,7
BB,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,-0.726347794111053,-0.04316546762589922,rebalance,regime_hold_cash,7
F,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.8475851049305803,0.050370370370370496,rebalance,regime_hold_cash,7
NOK,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,-0.9856853607671621,-0.05857740585774055,rebalance,regime_hold_cash,7
PLTR,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.1959890193205922,0.011647254575707153,rebalance,regime_hold_cash,7
SOFI,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.13287016425456954,0.007896221094190635,rebalance,regime_hold_cash,7
TQQQ,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.3979997034655085,0.023652365236523636,rebalance,regime_hold_cash,7
TSLA,2026-07-08 00:00:00+00:00,2026-07-15 00:00:00+00:00,0.017080705710032618,0.0010150738466222944,rebalance,regime_hold_cash,7
AMD,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-1.0635687464270571,-0.06308349397134971,bear_cash,regime_hold_cash,2
BB,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-2.6145210559519736,-0.15507518796992484,bear_cash,regime_hold_cash,2
F,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,0.05944886958868523,0.003526093088857593,bear_cash,regime_hold_cash,2
NOK,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-1.6934631412752488,-0.10044444444444457,bear_cash,regime_hold_cash,2
PLTR,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-0.17394127686291938,-0.010316985645932945,bear_cash,regime_hold_cash,2
SOFI,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-0.5566436852298295,-0.03301622831561282,bear_cash,regime_hold_cash,2
TQQQ,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-1.5650258323492032,-0.09282643739924766,bear_cash,regime_hold_cash,2
TSLA,2026-07-15 00:00:00+00:00,2026-07-17 00:00:00+00:00,-0.5821353395454025,-0.03452821578867314,bear_cash,regime_hold_cash,2
AMD,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
BB,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
F,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
NOK,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
PLTR,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
SOFI,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TQQQ,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TSLA,2026-07-24 00:00:00+00:00,2026-07-24 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
AMD,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
BB,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
F,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
NOK,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
PLTR,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
SOFI,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TQQQ,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
TSLA,2026-07-31 00:00:00+00:00,2026-07-31 00:00:00+00:00,0.0,0.0,bear_cash,regime_hold_cash,0
